INDEX,YEAR,DOY,RADIATION,PRECIP,TEMP_MAX,TEMP_MIN,NDEP_NH4,NDEP_NO3,CO2,NOT_USED
1,2007,1,0,0,-30.8,-41.7,0,0,391.2,0
2,2007,2,0.01,0,-33,-41.2,0,0,391.2,0
3,2007,3,-0.01,0,-33.1,-40.2,0,0,391.54,0
4,2007,4,0.01,0.09,-30.8,-37.3,0,0,392.86,0
5,2007,5,0.02,0.66,-29.3,-36.3,0,0,393.32,0
6,2007,6,0.01,0.03,-31.4,-39.1,0,0,391.83,0
7,2007,7,0.02,0.06,-29.5,-38.8,0,0,390.21,0
8,2007,8,0.02,0,-28.8,-38.6,0,0,389.32,0
9,2007,9,0.01,0.03,-16.1,-30.1,0,0,389.24,0
10,2007,10,0.01,0.06,-9.5,-19.1,0,0,389.38,0
11,2007,11,0.01,0.86,-6.6,-17.7,0,0,390.17,0
12,2007,12,0.01,0,-6.6,-18.9,0,0,390.47,0
13,2007,13,0.01,0,-6.1,-12.4,0,0,391.03,0
14,2007,14,0.02,0,-11.4,-24.8,0,0,390.91,0
15,2007,15,0,0.78,-23.7,-30.6,0,0,390.81,0
16,2007,16,-0.01,0.06,-13.9,-31.4,0,0,390.55,0
17,2007,17,0.01,0,-7.9,-27,0,0,390.72,0
18,2007,18,0.02,0.59,-4.8,-14.8,0,0,390.3,0
19,2007,19,0.08,0.3,-10.8,-22.8,0,0,390.3,0
20,2007,20,0.16,0.06,-18.7,-29.1,0,0,389.8,0
21,2007,21,0.18,0,-25.8,-31,0,0,389.8,0
22,2007,22,0.14,0,-26.9,-31.3,0,0,389.8,0
23,2007,23,0.12,0.18,-27.1,-33.8,0,0,389.8,0
24,2007,24,0.14,1.62,-27.3,-35.4,0,0,389.8,0
25,2007,25,0.29,0.03,-22.3,-34.7,0,0,389.8,0
26,2007,26,0.21,0.98,-5.2,-23.3,0,0,389.8,0
27,2007,27,0.27,0.42,-4,-7.5,0,0,389.8,0
28,2007,28,0.35,0,-1,-8.8,0,0,391.45,0
29,2007,29,0.36,0,-2.6,-14,0,0,391.68,0
